country,slug,visa_type,title,category,resource_status,source_org,source_type,url,official_page,local_path,notes
"Japan","japan","Medical visa","MOFA Japan visa for medical stay","requirements_page","official_page","Ministry of Foreign Affairs of Japan","government","https://www.mofa.go.jp/j_info/visit/visa/medical_stay1.html","https://www.mofa.go.jp/j_info/visit/visa/index.html","","Official MOFA medical stay visa guidance."
"South Korea","south-korea","Student visa","Korea Visa Portal student visa search","online_application_portal","official_online_portal","Korea Visa Portal","government","https://visa.go.kr/main/openMain.do?LANG_TYPE=EN","https://visa.go.kr/","","Official Korea Visa Portal includes student D visa categories."
"South Korea","south-korea","Work visa","Korea Visa Portal work visa search","online_application_portal","official_online_portal","Korea Visa Portal","government","https://visa.go.kr/main/openMain.do?LANG_TYPE=EN","https://visa.go.kr/","","Official Korea Visa Portal includes work and employment visa categories."
"South Korea","south-korea","Business visa","Korea Visa Portal business visitor category","online_application_portal","official_online_portal","Korea Visa Portal","government","https://visa.go.kr/main/openMain.do?LANG_TYPE=EN","https://visa.go.kr/","","Official Korea Visa Portal includes business visitor categories."
"South Korea","south-korea","Medical visa","Medical Korea medical visa page","requirements_page","official_page","Medical Korea / Korea Health Industry Development Institute","government","https://www.medicalkorea.or.kr/en/medicalvisa","https://www.medicalkorea.or.kr/en","","Official Korea medical tourism portal linking to Korea Visa Portal."
"China","china","Student visa","China online visa application - student X visa","online_application_portal","official_online_portal","Chinese Ministry of Foreign Affairs","government","https://consular.mfa.gov.cn/VISA/","https://consular.mfa.gov.cn/VISA/","","Official China online visa application portal; select X student visa."
"China","china","Work visa","China online visa application - work Z visa","online_application_portal","official_online_portal","Chinese Ministry of Foreign Affairs","government","https://consular.mfa.gov.cn/VISA/","https://consular.mfa.gov.cn/VISA/","","Official China online visa application portal; select Z work visa."
"China","china","Business visa","China online visa application - business M visa","online_application_portal","official_online_portal","Chinese Ministry of Foreign Affairs","government","https://consular.mfa.gov.cn/VISA/","https://consular.mfa.gov.cn/VISA/","","Official China online visa application portal; select M business visa."
"China","china","Medical visa","China online visa application - humanitarian/medical visit route","online_application_portal","official_online_portal","Chinese Ministry of Foreign Affairs","government","https://consular.mfa.gov.cn/VISA/","https://consular.mfa.gov.cn/VISA/","","Official China online visa application portal; medical treatment cases are handled through the relevant visit/humanitarian category."
"United Arab Emirates","united-arab-emirates","Student visa","UAE student visa official portal","requirements_page","official_page","UAE Government Portal","government","https://u.ae/en/information-and-services/visa-and-emirates-id/residenconline visas/student-visa","https://u.ae/en/information-and-services/visa-and-emirates-id","","Official UAE student residence visa guidance."
"United Arab Emirates","united-arab-emirates","Work visa","UAE work permits and employment residence","requirements_page","official_page","UAE Government Portal","government","https://u.ae/en/information-and-services/jobs/work-permits","https://u.ae/en/information-and-services/jobs","","Official UAE work permit guidance."
"United Arab Emirates","united-arab-emirates","Business visa","UAE business visas and Golden Visa categories","requirements_page","official_page","UAE Government Portal","government","https://u.ae/en/information-and-services/visa-and-emirates-id/residenconline visas/golden-visa","https://u.ae/en/information-and-services/visa-and-emirates-id","","Official UAE long-term residence categories for investors/entrepreneurs and business talent."
"United Arab Emirates","united-arab-emirates","Medical visa","Abu Dhabi medical visa entry permit","requirements_page","official_page","Abu Dhabi Residents Office","government","https://adro.gov.ae/Visas/Types-of-Visas","https://adro.gov.ae/Visas","","Official Abu Dhabi government page explaining medical visa entry permits."
"Saudi Arabia","saudi-arabia","Student visa","Study in Saudi official platform","online_application_portal","official_online_portal","Ministry of Education Saudi Arabia","government","https://studyinsaudi.moe.gov.sa/","https://studyinsaudi.moe.gov.sa/","","Official platform for international students and study-related applications."
"Saudi Arabia","saudi-arabia","Work visa","KSA Visa platform work visa services","online_application_portal","official_online_portal","Saudi Ministry of Foreign Affairs","government","https://visa.mofa.gov.sa/","https://visa.mofa.gov.sa/","","Official Saudi visa platform includes work visa services."
"Saudi Arabia","saudi-arabia","Medical visa","KSA Visa platform medical visit services","online_application_portal","official_online_portal","Saudi Ministry of Foreign Affairs","government","https://visa.mofa.gov.sa/","https://visa.mofa.gov.sa/","","Official Saudi visa platform includes medical visit services."
"Qatar","qatar","Work visa","Qatar MOI visas and entry permits","requirements_page","official_page","Qatar Ministry of Interior","government","https://portal.moi.gov.qa/wps/portal/MOIInternet/departmentcommittees/visasentrypermeits","https://portal.moi.gov.qa/qatarvisas/","","Official Qatar MOI visas and entry permits page for work/residence routes."
"Qatar","qatar","Business visa","Qatar business visa application form","downloadable_pdf","official_pdf","Qatar Ministry of Interior","government","https://portal.moi.gov.qa/wps/wcm/connect/778e2815-f807-40f6-a526-df33a40f9d2c/Business%2BVisa%2BApplication.pdf?MOD=AJPERES","https://portal.moi.gov.qa/qatarvisas/","","Official Qatar MOI business visa application PDF."
"Qatar","qatar","Medical visa","Qatar MOI medical requirements for residence/work visas","requirements_page","official_page","Qatar Ministry of Interior","government","https://portal.moi.gov.qa/wps/portal/MOIInternet/departmentcommittees/visasentrypermeits","https://portal.moi.gov.qa/qatarvisas/","","Official Qatar MOI visas page; work/residence routes include medical fitness requirements."
"Turkey","turkey","Student visa","Türkiye student visa through missions","requirements_page","official_page","Republic of Türkiye Ministry of Foreign Affairs","government","https://www.mfa.gov.tr/visa-information-for-foreigners.en.mfa","https://www.mfa.gov.tr/visa-information-for-foreigners.en.mfa","","Official MFA page says study visas are issued by Turkish embassies/consulates, not online visa."
"Turkey","turkey","Work visa","Türkiye work visa through missions","requirements_page","official_page","Republic of Türkiye Ministry of Foreign Affairs","government","https://www.mfa.gov.tr/visa-information-for-foreigners.en.mfa","https://www.mfa.gov.tr/visa-information-for-foreigners.en.mfa","","Official MFA page says work visas are issued by Turkish embassies/consulates, not online visa."
"Turkey","turkey","Business visa","Türkiye online visa for tourism and commerce","online_application_portal","official_online_portal","Republic of Türkiye Ministry of Foreign Affairs","government","https://www.evisa.gov.tr/en/tour/","https://www.evisa.gov.tr/en/","","Official Turkish online visa portal for tourism and commerce when eligible."
"Turkey","turkey","Medical visa","Türkiye visa information for non-tourism purposes","requirements_page","official_page","Republic of Türkiye Ministry of Foreign Affairs","government","https://www.mfa.gov.tr/visa-information-for-foreigners.en.mfa","https://www.mfa.gov.tr/visa-information-for-foreigners.en.mfa","","Official MFA visa information for purposes outside tourism/commerce, including mission-issued visa categories."
"South Africa","south-africa","Student visa","South African study visa official service page","requirements_page","official_page","South African Government","government","https://www.gov.za/services/temporary-residence/study-visa","https://www.gov.za/services/temporary-residence","","Official South African government study visa page."
"South Africa","south-africa","Work visa","South African work visa official service page","requirements_page","official_page","South African Government","government","https://www.gov.za/services/temporary-residence/work-visa","https://www.gov.za/services/temporary-residence","","Official South African government work visa page."
"South Africa","south-africa","Business visa","South African business visa official service page","requirements_page","official_page","South African Government","government","https://www.gov.za/services/temporary-residence/business-visa","https://www.gov.za/services/temporary-residence","","Official South African government business visa page."
"South Africa","south-africa","Medical visa","South African medical treatment visa PDF","downloadable_pdf","official_pdf","DIRCO / South African mission","government","https://dirco.gov.za/washingtondc/wp-content/uploads/sites/76/2025/04/MEDICAL-TREATMENT-VISA.pdf","https://www.gov.za/services/temporary-residence","","Official South African mission medical treatment visa checklist PDF."
"Kenya","kenya","Student visa","Kenya student/research/internship pass application","downloadable_pdf","official_pdf","Kenya Immigration Services","government","https://online visakenya.co.ke/wp-content/uploads/2024/08/Application-for-a-StudentResearchInternship-Pass.pdf","https://immigration.ecitizen.go.ke/","","Kenya student/research/internship pass application form. Verify current official portal before publishing."
"Kenya","kenya","Business visa","Kenya online visa business travel official page","online_application_portal","official_online_portal","Republic of Kenya eCitizen","government","https://ebusiness.go.ke/evisa.html","https://ebusiness.go.ke/","","Official Kenya online visa page covering business travel."
"Kenya","kenya","Work visa","Kenya immigration eFNS permits portal","online_application_portal","official_online_portal","Kenya Immigration Services","government","https://fns.immigration.go.ke/","https://immigration.ecitizen.go.ke/","","Official Kenyan foreign nationals/permits portal for work and passes."
"Kenya","kenya","Medical visa","Kenya online visa medical travel official page","online_application_portal","official_online_portal","Republic of Kenya eCitizen","government","https://ebusiness.go.ke/evisa.html","https://ebusiness.go.ke/","","Official Kenya online visa page covering medical reasons."
"Malaysia","malaysia","Student visa","Malaysia Immigration Student Pass","requirements_page","official_page","Immigration Department of Malaysia","government","https://www.imi.gov.my/index.php/en/main-services/pass/student-pass/","https://www.imi.gov.my/","","Official Immigration Department student pass page."
"Malaysia","malaysia","Work visa","Malaysia Expatriate Services Division Employment Pass","requirements_page","official_page","Immigration Department of Malaysia / ESD","government","https://esd.imi.gov.my/portal/expatriates/myxpats/key-services/employment-pass/","https://esd.imi.gov.my/","","Official ESD Employment Pass page."
"Malaysia","malaysia","Medical visa","Malaysia official eVISA for Medical terms","requirements_page","official_page","Immigration Department of Malaysia","government","https://malaysiavisa.imi.gov.my/terms-and-conditions/","https://malaysiavisa.imi.gov.my/","","Official Malaysia eVISA terms defining eVISA for Medical."
"Thailand","thailand","Student visa","Thai online visa official education visa route","online_application_portal","official_online_portal","Royal Thai Government / MFA","government","https://www.thaievisa.go.th/","https://www.thaievisa.go.th/","","Official Thai online visa portal; select Non-Immigrant ED for education/study."
"Thailand","thailand","Work visa","Thai online visa official work route","online_application_portal","official_online_portal","Royal Thai Government / MFA","government","https://www.thaievisa.go.th/","https://www.thaievisa.go.th/","","Official Thai online visa portal; select Non-Immigrant B or work-related route."
"Thailand","thailand","Business visa","Thai online visa official business route","online_application_portal","official_online_portal","Royal Thai Government / MFA","government","https://www.thaievisa.go.th/","https://www.thaievisa.go.th/","","Official Thai online visa portal; select business purpose."
"Thailand","thailand","Medical visa","Thai online visa official medical treatment route","online_application_portal","official_online_portal","Royal Thai Government / MFA","government","https://www.thaievisa.go.th/","https://www.thaievisa.go.th/","","Official Thai online visa portal; select medical treatment purpose where available."
"Russia","russia","Work visa","Russian MFA visa categories - work visa","requirements_page","official_page","Russian Ministry of Foreign Affairs","government","https://mid.ru/en/foreign_policy/visa/","https://mid.ru/en/foreign_policy/visa/","","Official Russian MFA visa information covering work visas and consular routes."
"Russia","russia","Business visa","Russian MFA visa categories - business visa","requirements_page","official_page","Russian Ministry of Foreign Affairs","government","https://mid.ru/en/foreign_policy/visa/","https://mid.ru/en/foreign_policy/visa/","","Official Russian MFA visa information covering business visas."
"Russia","russia","Medical visa","Russian MFA visa categories - medical/humanitarian travel","requirements_page","official_page","Russian Ministry of Foreign Affairs","government","https://mid.ru/en/foreign_policy/visa/","https://mid.ru/en/foreign_policy/visa/","","Official Russian MFA visa information; verify medical/humanitarian route with mission before filing."
"Egypt","egypt","Business visa","Egypt official online visa portal business/visit route","online_application_portal","official_online_portal","Arab Republic of Egypt","government","https://visa2egypt.gov.eg/","https://visa2egypt.gov.eg/","","Official Egypt online visa portal for eligible short visits; verify business purpose rules by nationality."
"Egypt","egypt","Student visa","Egypt official online visa and mission route for study","online_application_portal","official_online_portal","Arab Republic of Egypt","government","https://visa2egypt.gov.eg/","https://visa2egypt.gov.eg/","","Official Egypt online visa portal; long-stay study routes should be verified with the Egyptian mission."
"Egypt","egypt","Work visa","Egypt official online visa and mission route for work","online_application_portal","official_online_portal","Arab Republic of Egypt","government","https://visa2egypt.gov.eg/","https://visa2egypt.gov.eg/","","Official Egypt online visa portal; work authorization should be verified with the Egyptian mission/employer route."
"Egypt","egypt","Medical visa","Egypt official online visa and mission route for medical travel","online_application_portal","official_online_portal","Arab Republic of Egypt","government","https://visa2egypt.gov.eg/","https://visa2egypt.gov.eg/","","Official Egypt online visa portal; medical travel purpose should be verified by nationality and mission guidance."
"Schengen Area","schengen-area","Business visa","European Commission Schengen business visa documents","requirements_page","official_page","European Commission","government","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy","","Official EU Schengen application guidance; business supporting documents depend on destination mission."
"Schengen Area","schengen-area","Medical visa","European Commission Schengen medical travel documents","requirements_page","official_page","European Commission","government","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy","","Official EU Schengen application guidance; medical travel supporting documents depend on destination mission."
"Qatar","qatar","Student visa","Qatar University international student visa guidance","requirements_page","official_page","Qatar University","government","https://www.qu.edu.qa/students/international-students/visa-and-residence-permit/","https://www.qu.edu.qa/students/international-students/","","Official Qatar University guidance for international student visa and residence permit process."
"Schengen Area","schengen-area","Student visa","EU Immigration Portal student route by country","requirements_page","official_page","European Commission","government","https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal_en","https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal_en","","Official EU Immigration Portal for country-specific student residence rules."
"Schengen Area","schengen-area","Work visa","EU Immigration Portal work route by country","requirements_page","official_page","European Commission","government","https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal_en","https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal_en","","Official EU Immigration Portal for country-specific employment and residence rules."
"Oman","oman","All Oman visas","Oman official visa / immigration portal","online_application_portal","official_online_portal","Royal Oman Police / Oman visa portal","government","https://evisa.rop.gov.om/","https://evisa.rop.gov.om/","","Start here for official visa categories, application rules, payment instructions and eligibility."
"Oman","oman","Oman embassy / contact","Oman embassy or consular contact page","requirements_page","official_page","Royal Oman Police / Oman visa portal","government","https://www.fm.gov.om/ethiopia/","https://www.fm.gov.om/ethiopia/","","Use for consular address, contact, appointment and Ethiopia-specific notices where available."
"Oman","oman","Tourist visa","Oman tourist / visitor visa requirements","requirements_page","official_requirements_page","Royal Oman Police / Oman visa portal","government","https://evisa.rop.gov.om/","https://evisa.rop.gov.om/","","Visitor route guidance, fees, stay rules, eligibility and document requirements."
"Oman","oman","Business visa","Oman business visa requirements","requirements_page","official_requirements_page","Royal Oman Police / Oman visa portal","government","https://evisa.rop.gov.om/","https://evisa.rop.gov.om/","","Business, meeting, conference or official visit route; verify invitation and company evidence requirements."
"Oman","oman","Student visa","Oman student visa / study permit guidance","requirements_page","official_requirements_page","Royal Oman Police / Oman visa portal","government","https://evisa.rop.gov.om/","https://evisa.rop.gov.om/","","Study route guidance; verify admission, funding, accommodation, medical and residence requirements."
"Oman","oman","Work visa","Oman work visa / employment permit guidance","requirements_page","official_requirements_page","Royal Oman Police / Oman visa portal","government","https://evisa.rop.gov.om/","https://evisa.rop.gov.om/","","Work route guidance; most employment routes require sponsor/employer approval before applying."
"Oman","oman","Medical visa","Oman medical treatment visa guidance","requirements_page","official_requirements_page","Royal Oman Police / Oman visa portal","government","https://evisa.rop.gov.om/","https://evisa.rop.gov.om/","","Medical treatment route; verify hospital letter, cost estimate, funding and companion rules."
"Kuwait","kuwait","All Kuwait visas","Kuwait official visa / immigration portal","online_application_portal","official_online_portal","Kuwait Ministry of Interior visa portal","government","https://evisa.moi.gov.kw/","https://evisa.moi.gov.kw/","","Start here for official visa categories, application rules, payment instructions and eligibility."
"Kuwait","kuwait","Kuwait embassy / contact","Kuwait embassy or consular contact page","requirements_page","official_page","Kuwait Ministry of Interior visa portal","government","https://www.mofa.gov.kw/en/kuwait-missions/kuwait-missions-abroad/","https://www.mofa.gov.kw/en/kuwait-missions/kuwait-missions-abroad/","","Use for consular address, contact, appointment and Ethiopia-specific notices where available."
"Kuwait","kuwait","Tourist visa","Kuwait tourist / visitor visa requirements","requirements_page","official_requirements_page","Kuwait Ministry of Interior visa portal","government","https://evisa.moi.gov.kw/","https://evisa.moi.gov.kw/","","Visitor route guidance, fees, stay rules, eligibility and document requirements."
"Kuwait","kuwait","Business visa","Kuwait business visa requirements","requirements_page","official_requirements_page","Kuwait Ministry of Interior visa portal","government","https://evisa.moi.gov.kw/","https://evisa.moi.gov.kw/","","Business, meeting, conference or official visit route; verify invitation and company evidence requirements."
"Kuwait","kuwait","Student visa","Kuwait student visa / study permit guidance","requirements_page","official_requirements_page","Kuwait Ministry of Interior visa portal","government","https://evisa.moi.gov.kw/","https://evisa.moi.gov.kw/","","Study route guidance; verify admission, funding, accommodation, medical and residence requirements."
"Kuwait","kuwait","Work visa","Kuwait work visa / employment permit guidance","requirements_page","official_requirements_page","Kuwait Ministry of Interior visa portal","government","https://evisa.moi.gov.kw/","https://evisa.moi.gov.kw/","","Work route guidance; most employment routes require sponsor/employer approval before applying."
"Kuwait","kuwait","Medical visa","Kuwait medical treatment visa guidance","requirements_page","official_requirements_page","Kuwait Ministry of Interior visa portal","government","https://evisa.moi.gov.kw/","https://evisa.moi.gov.kw/","","Medical treatment route; verify hospital letter, cost estimate, funding and companion rules."
"Bahrain","bahrain","All Bahrain visas","Bahrain official visa / immigration portal","online_application_portal","official_online_portal","Bahrain visa / NPRA","government","https://www.evisa.gov.bh/","https://www.evisa.gov.bh/","","Start here for official visa categories, application rules, payment instructions and eligibility."
"Bahrain","bahrain","Bahrain embassy / contact","Bahrain embassy or consular contact page","requirements_page","official_page","Bahrain visa / NPRA","government","https://www.mofa.gov.bh/","https://www.mofa.gov.bh/","","Use for consular address, contact, appointment and Ethiopia-specific notices where available."
"Bahrain","bahrain","Tourist visa","Bahrain tourist / visitor visa requirements","requirements_page","official_requirements_page","Bahrain visa / NPRA","government","https://www.evisa.gov.bh/","https://www.evisa.gov.bh/","","Visitor route guidance, fees, stay rules, eligibility and document requirements."
"Bahrain","bahrain","Business visa","Bahrain business visa requirements","requirements_page","official_requirements_page","Bahrain visa / NPRA","government","https://www.evisa.gov.bh/","https://www.evisa.gov.bh/","","Business, meeting, conference or official visit route; verify invitation and company evidence requirements."
"Bahrain","bahrain","Student visa","Bahrain student visa / study permit guidance","requirements_page","official_requirements_page","Bahrain visa / NPRA","government","https://www.evisa.gov.bh/","https://www.evisa.gov.bh/","","Study route guidance; verify admission, funding, accommodation, medical and residence requirements."
"Bahrain","bahrain","Work visa","Bahrain work visa / employment permit guidance","requirements_page","official_requirements_page","Bahrain visa / NPRA","government","https://www.evisa.gov.bh/","https://www.evisa.gov.bh/","","Work route guidance; most employment routes require sponsor/employer approval before applying."
"Bahrain","bahrain","Medical visa","Bahrain medical treatment visa guidance","requirements_page","official_requirements_page","Bahrain visa / NPRA","government","https://www.evisa.gov.bh/","https://www.evisa.gov.bh/","","Medical treatment route; verify hospital letter, cost estimate, funding and companion rules."
"Jordan","jordan","All Jordan visas","Jordan official visa / immigration portal","online_application_portal","official_online_portal","Jordan Ministry of Interior / MFA","government","https://eservices.moi.gov.jo/","https://eservices.moi.gov.jo/","","Start here for official visa categories, application rules, payment instructions and eligibility."
"Jordan","jordan","Jordan embassy / contact","Jordan embassy or consular contact page","requirements_page","official_page","Jordan Ministry of Interior / MFA","government","https://mfa.gov.jo/","https://mfa.gov.jo/","","Use for consular address, contact, appointment and Ethiopia-specific notices where available."
"Jordan","jordan","Tourist visa","Jordan tourist / visitor visa requirements","requirements_page","official_requirements_page","Jordan Ministry of Interior / MFA","government","https://eservices.moi.gov.jo/","https://eservices.moi.gov.jo/","","Visitor route guidance, fees, stay rules, eligibility and document requirements."
"Jordan","jordan","Business visa","Jordan business visa requirements","requirements_page","official_requirements_page","Jordan Ministry of Interior / MFA","government","https://eservices.moi.gov.jo/","https://eservices.moi.gov.jo/","","Business, meeting, conference or official visit route; verify invitation and company evidence requirements."
"Jordan","jordan","Student visa","Jordan student visa / study permit guidance","requirements_page","official_requirements_page","Jordan Ministry of Interior / MFA","government","https://eservices.moi.gov.jo/","https://eservices.moi.gov.jo/","","Study route guidance; verify admission, funding, accommodation, medical and residence requirements."
"Jordan","jordan","Work visa","Jordan work visa / employment permit guidance","requirements_page","official_requirements_page","Jordan Ministry of Interior / MFA","government","https://eservices.moi.gov.jo/","https://eservices.moi.gov.jo/","","Work route guidance; most employment routes require sponsor/employer approval before applying."
"Jordan","jordan","Medical visa","Jordan medical treatment visa guidance","requirements_page","official_requirements_page","Jordan Ministry of Interior / MFA","government","https://eservices.moi.gov.jo/","https://eservices.moi.gov.jo/","","Medical treatment route; verify hospital letter, cost estimate, funding and companion rules."
"Lebanon","lebanon","All Lebanon visas","Lebanon official visa / immigration portal","online_application_portal","official_online_portal","Lebanon General Security / MFA","government","https://www.general-security.gov.lb/","https://www.general-security.gov.lb/","","Start here for official visa categories, application rules, payment instructions and eligibility."
"Lebanon","lebanon","Lebanon embassy / contact","Lebanon embassy or consular contact page","requirements_page","official_page","Lebanon General Security / MFA","government","https://www.mfa.gov.lb/","https://www.mfa.gov.lb/","","Use for consular address, contact, appointment and Ethiopia-specific notices where available."
"Lebanon","lebanon","Tourist visa","Lebanon tourist / visitor visa requirements","requirements_page","official_requirements_page","Lebanon General Security / MFA","government","https://www.general-security.gov.lb/","https://www.general-security.gov.lb/","","Visitor route guidance, fees, stay rules, eligibility and document requirements."
"Lebanon","lebanon","Business visa","Lebanon business visa requirements","requirements_page","official_requirements_page","Lebanon General Security / MFA","government","https://www.general-security.gov.lb/","https://www.general-security.gov.lb/","","Business, meeting, conference or official visit route; verify invitation and company evidence requirements."
"Lebanon","lebanon","Student visa","Lebanon student visa / study permit guidance","requirements_page","official_requirements_page","Lebanon General Security / MFA","government","https://www.general-security.gov.lb/","https://www.general-security.gov.lb/","","Study route guidance; verify admission, funding, accommodation, medical and residence requirements."
"Lebanon","lebanon","Work visa","Lebanon work visa / employment permit guidance","requirements_page","official_requirements_page","Lebanon General Security / MFA","government","https://www.general-security.gov.lb/","https://www.general-security.gov.lb/","","Work route guidance; most employment routes require sponsor/employer approval before applying."
"Lebanon","lebanon","Medical visa","Lebanon medical treatment visa guidance","requirements_page","official_requirements_page","Lebanon General Security / MFA","government","https://www.general-security.gov.lb/","https://www.general-security.gov.lb/","","Medical treatment route; verify hospital letter, cost estimate, funding and companion rules."
"Israel","israel","All Israel visas","Israel official visa / immigration portal","online_application_portal","official_online_portal","Israel Population and Immigration Authority / Embassy","government","https://israel-entry.piba.gov.il/","https://israel-entry.piba.gov.il/","","Start here for official visa categories, application rules, payment instructions and eligibility."
"Israel","israel","Israel embassy / contact","Israel embassy or consular contact page","requirements_page","official_page","Israel Population and Immigration Authority / Embassy","government","https://embassies.gov.il/addis_ababa/","https://embassies.gov.il/addis_ababa/","","Use for consular address, contact, appointment and Ethiopia-specific notices where available."
"Israel","israel","Tourist visa","Israel tourist / visitor visa requirements","requirements_page","official_requirements_page","Israel Population and Immigration Authority / Embassy","government","https://israel-entry.piba.gov.il/","https://israel-entry.piba.gov.il/","","Visitor route guidance, fees, stay rules, eligibility and document requirements."
"Israel","israel","Business visa","Israel business visa requirements","requirements_page","official_requirements_page","Israel Population and Immigration Authority / Embassy","government","https://israel-entry.piba.gov.il/","https://israel-entry.piba.gov.il/","","Business, meeting, conference or official visit route; verify invitation and company evidence requirements."
"Israel","israel","Student visa","Israel student visa / study permit guidance","requirements_page","official_requirements_page","Israel Population and Immigration Authority / Embassy","government","https://israel-entry.piba.gov.il/","https://israel-entry.piba.gov.il/","","Study route guidance; verify admission, funding, accommodation, medical and residence requirements."
"Israel","israel","Work visa","Israel work visa / employment permit guidance","requirements_page","official_requirements_page","Israel Population and Immigration Authority / Embassy","government","https://israel-entry.piba.gov.il/","https://israel-entry.piba.gov.il/","","Work route guidance; most employment routes require sponsor/employer approval before applying."
"Israel","israel","Medical visa","Israel medical treatment visa guidance","requirements_page","official_requirements_page","Israel Population and Immigration Authority / Embassy","government","https://israel-entry.piba.gov.il/","https://israel-entry.piba.gov.il/","","Medical treatment route; verify hospital letter, cost estimate, funding and companion rules."
"Morocco","morocco","All Morocco visas","Morocco official visa / immigration portal","online_application_portal","official_online_portal","Access Maroc / Morocco MFA","government","https://www.acces-maroc.ma/","https://www.acces-maroc.ma/","","Start here for official visa categories, application rules, payment instructions and eligibility."
"Morocco","morocco","Morocco embassy / contact","Morocco embassy or consular contact page","requirements_page","official_page","Access Maroc / Morocco MFA","government","https://www.diplomatie.ma/","https://www.diplomatie.ma/","","Use for consular address, contact, appointment and Ethiopia-specific notices where available."
"Morocco","morocco","Tourist visa","Morocco tourist / visitor visa requirements","requirements_page","official_requirements_page","Access Maroc / Morocco MFA","government","https://www.acces-maroc.ma/","https://www.acces-maroc.ma/","","Visitor route guidance, fees, stay rules, eligibility and document requirements."
"Morocco","morocco","Business visa","Morocco business visa requirements","requirements_page","official_requirements_page","Access Maroc / Morocco MFA","government","https://www.acces-maroc.ma/","https://www.acces-maroc.ma/","","Business, meeting, conference or official visit route; verify invitation and company evidence requirements."
"Morocco","morocco","Student visa","Morocco student visa / study permit guidance","requirements_page","official_requirements_page","Access Maroc / Morocco MFA","government","https://www.acces-maroc.ma/","https://www.acces-maroc.ma/","","Study route guidance; verify admission, funding, accommodation, medical and residence requirements."
"Morocco","morocco","Work visa","Morocco work visa / employment permit guidance","requirements_page","official_requirements_page","Access Maroc / Morocco MFA","government","https://www.acces-maroc.ma/","https://www.acces-maroc.ma/","","Work route guidance; most employment routes require sponsor/employer approval before applying."
"Morocco","morocco","Medical visa","Morocco medical treatment visa guidance","requirements_page","official_requirements_page","Access Maroc / Morocco MFA","government","https://www.acces-maroc.ma/","https://www.acces-maroc.ma/","","Medical treatment route; verify hospital letter, cost estimate, funding and companion rules."
"Tunisia","tunisia","All Tunisia visas","Tunisia official visa / immigration portal","online_application_portal","official_online_portal","Tunisia MFA","government","https://www.diplomatie.gov.tn/","https://www.diplomatie.gov.tn/","","Start here for official visa categories, application rules, payment instructions and eligibility."
"Tunisia","tunisia","Tunisia embassy / contact","Tunisia embassy or consular contact page","requirements_page","official_page","Tunisia MFA","government","https://www.diplomatie.gov.tn/","https://www.diplomatie.gov.tn/","","Use for consular address, contact, appointment and Ethiopia-specific notices where available."
"Tunisia","tunisia","Tourist visa","Tunisia tourist / visitor visa requirements","requirements_page","official_requirements_page","Tunisia MFA","government","https://www.diplomatie.gov.tn/","https://www.diplomatie.gov.tn/","","Visitor route guidance, fees, stay rules, eligibility and document requirements."
"Tunisia","tunisia","Business visa","Tunisia business visa requirements","requirements_page","official_requirements_page","Tunisia MFA","government","https://www.diplomatie.gov.tn/","https://www.diplomatie.gov.tn/","","Business, meeting, conference or official visit route; verify invitation and company evidence requirements."
"Tunisia","tunisia","Student visa","Tunisia student visa / study permit guidance","requirements_page","official_requirements_page","Tunisia MFA","government","https://www.diplomatie.gov.tn/","https://www.diplomatie.gov.tn/","","Study route guidance; verify admission, funding, accommodation, medical and residence requirements."
"Tunisia","tunisia","Work visa","Tunisia work visa / employment permit guidance","requirements_page","official_requirements_page","Tunisia MFA","government","https://www.diplomatie.gov.tn/","https://www.diplomatie.gov.tn/","","Work route guidance; most employment routes require sponsor/employer approval before applying."
"Tunisia","tunisia","Medical visa","Tunisia medical treatment visa guidance","requirements_page","official_requirements_page","Tunisia MFA","government","https://www.diplomatie.gov.tn/","https://www.diplomatie.gov.tn/","","Medical treatment route; verify hospital letter, cost estimate, funding and companion rules."
"Djibouti","djibouti","All Djibouti visas","Djibouti official visa / immigration portal","online_application_portal","official_online_portal","Djibouti official visa portal","government","https://www.evisa.gouv.dj/","https://www.evisa.gouv.dj/","","Start here for official visa categories, application rules, payment instructions and eligibility."
"Djibouti","djibouti","Djibouti embassy / contact","Djibouti embassy or consular contact page","requirements_page","official_page","Djibouti official visa portal","government","https://www.presidence.dj/","https://www.presidence.dj/","","Use for consular address, contact, appointment and Ethiopia-specific notices where available."
"Djibouti","djibouti","Tourist visa","Djibouti tourist / visitor visa requirements","requirements_page","official_requirements_page","Djibouti official visa portal","government","https://www.evisa.gouv.dj/","https://www.evisa.gouv.dj/","","Visitor route guidance, fees, stay rules, eligibility and document requirements."
